"","B14.5new.bam","B15.5new.bam","B17.5new.bam","B20new.bam","B34new.bam","C14.5new.bam","C15.5new.bam","C17.5new.bam","C20new.bam","C34new.bam"
"MSTRG.215",152,291,683,1256,824,215,561,2036,1999,555
"MSTRG.216",2,1,1,5,1,2,1,1,0,2
"MSTRG.217",2652,4133,5251,7504,7342,3967,5901,9845,9171,3995
"MSTRG.218",11,14,16,26,6,19,19,10,22,6
"MSTRG.219",334,332,418,487,327,592,475,424,676,1176
"MSTRG.220",36,48,39,24,7,34,21,26,24,34
"MSTRG.221",2,8,17,22,9,6,5,15,11,1
"MSTRG.222",1,0,0,0,0,0,0,0,0,2
"MSTRG.223",1797,1207,1356,1313,586,1335,751,1116,816,451
"MSTRG.224",738,679,451,574,305,589,400,319,484,171
"MSTRG.225",18,22,13,12,9,17,27,23,15,23
"MSTRG.226",77,144,203,251,417,102,151,323,352,318
"MSTRG.227",11,23,17,28,48,10,15,23,49,22
"MSTRG.228",599,720,664,768,1472,626,784,1436,1221,1923
"MSTRG.229",366,346,285,232,183,241,302,369,242,175
"MSTRG.230",497,498,407,398,580,412,420,395,393,737
"MSTRG.231",13,22,45,61,343,22,38,87,119,117
"MSTRG.232",418,546,546,622,879,400,613,847,721,835
"MSTRG.233",254,265,230,236,206,222,268,367,268,267
"MSTRG.234",472,497,570,469,325,522,537,496,630,666
"MSTRG.235",4,2,2,1,0,4,4,1,3,4
"MSTRG.236",2598,2495,1446,1442,276,1515,1734,1946,1271,181
"MSTRG.237",355,398,448,533,895,385,447,899,651,889
"MSTRG.238",452,555,659,608,659,366,639,887,734,688
"MSTRG.239",67,66,39,54,31,64,81,95,76,155
"MSTRG.240",124,119,94,101,89,86,126,143,147,135
"MSTRG.241",73,64,84,48,68,55,82,46,73,48
"MSTRG.242",7,19,16,11,15,15,18,18,11,13
"MSTRG.243",3847,2987,2993,2359,2860,2943,2432,2687,2365,2663
"MSTRG.244",27,32,32,42,41,17,31,54,33,109
"MSTRG.245",68,58,71,56,61,31,53,84,41,57
"MSTRG.246",2533,2709,2518,2412,5023,1797,3076,4310,3477,4132
"MSTRG.247",1022,1093,912,925,650,1021,1049,1004,1141,659
"MSTRG.248",2843,2213,1205,603,197,1360,1272,856,637,73
"MSTRG.249",1148,1263,1436,1379,1625,1041,1419,1343,1487,923
"MSTRG.250",1,3,1,2,0,2,1,2,4,2
"MSTRG.251",675,663,593,478,368,460,616,627,475,221
"MSTRG.252",31,24,30,29,15,30,24,15,28,17
"MSTRG.253",70,54,50,75,46,89,67,40,57,34
"MSTRG.254",36,34,30,38,30,46,34,13,37,16
"MSTRG.255",7,8,5,3,4,3,5,5,7,0
"MSTRG.256",801,916,988,794,643,698,985,1446,1032,532
"MSTRG.257",707,736,614,781,566,754,773,852,925,620
"MSTRG.258",2,1,0,2,0,3,1,0,3,1
"MSTRG.259",5273,4964,3808,4020,834,3698,3190,2018,2009,349
"MSTRG.260",6523,6865,7574,8825,17480,8443,8133,10243,11479,11052
"MSTRG.261",16,9,4,7,12,7,14,11,6,15
"MSTRG.262",822,640,655,693,580,654,592,317,702,985
"MSTRG.263",57,44,44,48,131,31,43,21,94,665
"MSTRG.264",22,13,8,19,6,19,20,11,17,6
"MSTRG.265",43,41,52,37,70,39,43,48,43,88
"MSTRG.266",44,44,15,25,52,32,38,43,43,127
"MSTRG.267",5,3,1,1,0,5,3,2,0,0
"MSTRG.268",1,2,3,2,2,1,1,0,6,2
"MSTRG.269",0,0,0,0,0,0,0,0,0,0
"MSTRG.270",75,38,68,46,19,100,58,29,57,34
"MSTRG.271",2,0,0,0,0,0,0,1,0,0
"MSTRG.272",0,0,0,0,0,0,0,1,0,0
"MSTRG.273",64,53,67,42,26,95,60,38,48,44
"MSTRG.274",1,0,0,0,0,0,0,0,0,0
"MSTRG.275",24,17,6,18,19,12,21,18,27,20
"MSTRG.276",15,3,3,1,1,7,1,0,0,0
"MSTRG.277",48,36,34,44,27,44,25,21,26,19
"MSTRG.278",20,10,4,4,6,29,1,4,2,6
"MSTRG.279",5,6,1,4,6,11,4,0,3,0
"MSTRG.280",10,6,5,9,2,14,8,9,3,6
"MSTRG.281",5,3,3,4,0,7,5,2,0,0
"MSTRG.282",139,78,76,87,37,263,108,66,57,21
"MSTRG.283",2,9,8,11,5,18,38,3,14,13
"MSTRG.284",71,48,46,23,39,41,42,43,29,46
"MSTRG.285",132,237,571,503,587,151,423,302,610,421
"MSTRG.286",141,223,378,364,72,202,483,2,378,36
"MSTRG.287",9,3,12,24,26,6,7,4,7,2
"MSTRG.288",77,148,391,741,2466,9,31,14,33,35
"MSTRG.289",0,0,0,0,0,0,0,0,0,0
"MSTRG.290",1373,1453,1620,1482,1766,1209,1411,1689,1683,1372
"MSTRG.291",798,586,419,435,154,636,436,341,389,328
"MSTRG.292",486,412,328,355,236,370,380,506,380,312
"MSTRG.293",21,10,9,8,1,15,16,6,4,0
"MSTRG.294",1329,1264,1274,1204,886,1280,1253,1206,1149,1313
"MSTRG.295",4287,4213,3771,2835,1903,3724,3569,2871,2550,2428
"MSTRG.296",350,379,277,300,219,318,368,299,351,197
"MSTRG.297",0,0,0,0,0,0,0,0,0,0
"MSTRG.298",609,464,387,441,511,492,446,557,455,610
"MSTRG.299",65,71,55,60,35,55,72,66,76,36
"MSTRG.300",1080,928,859,759,476,909,751,580,708,661
"MSTRG.301",5319,5148,5362,5582,4583,6524,4809,4995,5263,5201
"MSTRG.302",1184,1579,1905,2410,2570,1491,2321,4370,3118,1313
"MSTRG.303",1552,1411,1626,1394,1052,1246,1136,1526,1039,835
"MSTRG.304",154,139,118,122,155,186,145,176,135,174
"MSTRG.305",4087,3508,3044,2806,2189,3494,3426,2806,3098,2642
"MSTRG.306",12,14,9,11,1,8,5,9,7,5
"MSTRG.307",0,0,0,0,0,0,0,0,0,0
"MSTRG.308",894,935,904,925,1340,859,985,1586,1119,1302
"MSTRG.309",19,23,24,32,34,21,26,26,33,109
"MSTRG.310",3160,2948,2510,1960,1020,2491,2183,1888,1745,1368
"MSTRG.311",9,3,2,9,9,2,7,5,5,6
"MSTRG.312",503,452,356,341,254,436,357,393,303,281
"MSTRG.313",6915,5931,4869,4500,2070,6119,5398,6332,4143,2285
"MSTRG.314",576,465,644,470,295,558,642,113,370,465
"MSTRG.315",0,0,0,0,0,0,0,0,0,0
"MSTRG.316",535,505,668,854,2341,407,444,923,1251,3122
"MSTRG.317",1,0,0,1,5,0,0,0,2,13
"MSTRG.318",2144,1772,1302,1271,533,1507,1473,1964,1086,465
"MSTRG.319",0,0,0,0,0,0,0,0,0,0
"MSTRG.320",1321,800,579,434,221,627,445,330,483,288
"MSTRG.321",4,3,0,2,1,7,5,0,2,5
"MSTRG.322",34,28,31,32,19,48,26,25,35,31
"MSTRG.323",35,25,19,30,12,37,46,32,37,38
"MSTRG.324",16,18,22,18,36,19,18,16,22,65
"MSTRG.325",3,0,0,0,0,0,0,1,0,5
"MSTRG.326",149,131,186,198,95,144,129,94,154,81
"MSTRG.327",0,0,0,1,0,0,0,0,0,0
"MSTRG.328",77,35,32,34,26,47,28,22,20,25
"MSTRG.329",1260,880,667,413,272,683,485,435,463,236
"MSTRG.330",0,0,0,1,0,0,0,0,0,0
"MSTRG.331",10,4,2,3,2,10,6,3,9,3
"MSTRG.332",3,5,9,1,2,3,0,4,3,2
"MSTRG.333",1,1,0,2,0,3,1,3,0,0
"MSTRG.334",0,0,0,0,0,0,0,0,0,0
"MSTRG.335",0,1,0,0,0,0,0,1,0,1
"MSTRG.336",1,0,0,0,0,1,0,1,0,1
"MSTRG.337",3927,4741,4508,5537,9522,3488,4559,5537,4468,11036
"MSTRG.338",0,0,11,11,14,1,1,16,21,8
"MSTRG.339",241,300,307,277,187,248,313,245,338,124
"MSTRG.340",301,482,605,714,652,433,637,1183,1126,365
"MSTRG.341",3572,3746,4955,4921,4717,3266,3687,6406,5183,2685
"MSTRG.342",2948,2772,3009,2908,3199,3032,2705,3418,3171,3268
"MSTRG.343",16,13,10,6,2,10,8,4,6,2
"MSTRG.344",17,12,6,2,4,7,5,2,9,8
"MSTRG.345",538,559,507,574,349,443,415,515,507,274
"MSTRG.346",36,36,54,40,728,51,65,68,95,1351
"MSTRG.347",368,575,853,1067,2125,461,768,1056,1319,1107
"MSTRG.348",5,2,9,2,12,7,6,6,8,9
"MSTRG.349",2129,3525,4309,5857,7252,3997,5335,5369,6825,6552
"MSTRG.350",9,11,20,35,149,10,25,28,39,8
"MSTRG.351",26,25,30,58,26,18,29,84,76,23
"MSTRG.352",500,470,417,407,507,526,441,421,440,572
"MSTRG.353",12,12,9,11,18,6,13,6,6,9
"MSTRG.354",2503,2368,2247,1894,1119,2648,2170,1797,1726,1793
"MSTRG.355",153,160,114,113,58,121,145,137,151,112
"MSTRG.356",121,92,92,92,62,75,104,123,107,52
"MSTRG.357",29,16,26,22,19,31,26,24,20,13
"MSTRG.358",145,175,143,224,154,137,154,246,226,106
"MSTRG.359",0,1,1,4,1,3,4,1,2,1
"MSTRG.360",323,303,249,260,177,304,304,302,301,126
"MSTRG.361",7307,6110,4761,4315,3530,6808,5357,5003,4731,4029
"MSTRG.362",12,30,53,41,17,22,69,84,79,5
"MSTRG.363",0,0,0,0,0,0,0,0,0,0
"MSTRG.364",436,481,418,441,496,320,354,392,331,322
"MSTRG.365",3,4,2,4,3,2,3,4,10,4
"MSTRG.366",1,1,1,1,10,0,0,1,1,1
"MSTRG.367",23,21,28,16,20,20,16,18,19,13
"MSTRG.368",0,0,0,1,0,0,0,0,0,0
"MSTRG.369",1446,1905,1919,1717,1906,1539,2166,3252,2511,1915
"MSTRG.370",206,253,271,273,338,208,293,339,319,578
"MSTRG.371",3049,2867,2478,2577,2362,2380,2417,2933,2634,2482
"MSTRG.372",2,1,3,9,6,0,3,14,15,0
"MSTRG.373",3,2,1,3,3,2,2,0,1,1
"MSTRG.374",184,163,135,184,165,106,135,145,142,98
"MSTRG.375",1,0,0,1,1,1,1,2,2,7
"MSTRG.376",9,12,17,46,118,5,13,2,32,97
"MSTRG.377",0,0,0,0,0,0,0,0,0,0
"MSTRG.378",912,655,825,620,353,644,471,273,363,202
"MSTRG.379",0,0,0,1,0,0,0,1,1,0
"MSTRG.380",0,0,0,0,0,0,0,0,0,0
"MSTRG.381",25,17,49,9,15,10,38,17,11,5
"MSTRG.382",0,0,1,0,2,0,0,0,0,1
"MSTRG.383",0,0,0,0,0,0,0,0,0,0
"MSTRG.384",1,0,1,2,0,0,2,0,1,0
"MSTRG.385",5,14,28,9,3,12,24,0,17,7
"MSTRG.386",3,4,14,8,3,8,8,1,3,0
"MSTRG.387",0,0,0,0,0,0,0,0,0,0
"MSTRG.388",0,0,0,1,0,0,0,0,0,0
"MSTRG.389",26,19,12,17,9,24,12,11,17,28
"MSTRG.390",27,19,32,15,27,29,22,11,13,20
"MSTRG.391",216,188,90,186,248,224,179,160,339,561
"MSTRG.392",3,9,17,3,3,8,16,0,3,0
"MSTRG.393",5,5,5,0,0,2,1,0,1,1
"MSTRG.394",0,0,0,0,0,0,0,0,0,0
"MSTRG.395",12,11,19,13,22,30,26,6,14,8
"MSTRG.396",0,0,0,0,0,0,0,0,0,1
"MSTRG.397",13,14,20,12,10,10,27,3,11,8
"MSTRG.398",251,215,203,220,279,222,228,293,225,238
"MSTRG.399",281,382,453,802,544,743,721,858,1049,1041
"MSTRG.400",2,3,4,9,8,10,13,9,7,10
"MSTRG.401",2,2,6,17,7,10,9,10,20,9
"MSTRG.402",0,0,0,3,0,3,3,4,3,0
"MSTRG.403",1,1,1,0,1,0,1,0,2,0
"MSTRG.404",9,2,10,9,7,5,7,12,5,11
"MSTRG.405",4,4,5,2,3,10,2,4,7,3
"MSTRG.406",911,912,896,678,399,998,871,633,722,526
"MSTRG.407",1,0,0,0,0,0,0,0,1,0
"MSTRG.408",1117,1077,1095,1070,1115,1148,1008,769,1027,1016
"MSTRG.409",0,0,0,0,2,1,0,0,0,0
"MSTRG.410",0,0,0,0,0,0,0,0,0,0
"MSTRG.411",2,8,8,6,12,1,9,6,3,2
"MSTRG.412",1,0,0,0,0,0,0,0,0,0
"MSTRG.413",0,0,0,0,1,0,0,0,0,0
"MSTRG.414",0,0,1,0,0,0,0,0,0,0
"MSTRG.415",6,3,14,7,9,4,6,2,3,22
"MSTRG.416",23,19,18,17,22,18,17,19,19,51
"MSTRG.417",6,4,2,2,4,7,4,4,6,19
"MSTRG.418",58,55,16,36,27,119,62,7,38,77
"MSTRG.419",143,145,224,189,267,148,112,161,216,182
"MSTRG.420",1177,1276,1688,2371,1152,2338,2401,2647,2217,601
"MSTRG.421",17,23,23,49,58,51,50,58,67,33
"MSTRG.422",0,0,0,0,0,0,0,0,0,0
"MSTRG.423",1,1,4,7,16,3,7,4,18,21
"MSTRG.424",0,0,0,0,0,0,0,0,0,0
"MSTRG.425",1,0,0,4,0,0,0,0,3,1
"MSTRG.426",512,271,294,204,69,348,228,163,189,32
